Age (Years),Mileage (Km),Engine_Size (L),Target
6,248406.66276968463,3.9971348507831057,0
19,112102.4675975517,2.1623502392254204,0
14,15097.292692056091,4.147880539670665,0
10,250043.07943674867,1.4477437080861213,0
7,106831.6827399763,2.423893495179411,1
20,233281.18434439538,4.912247271894114,0
6,112013.5789264539,4.175958865472024,0
18,259015.06589254286,2.9890237212587527,0
10,69755.60489888283,2.3591098862475404,0
10,292491.44323366665,4.488542800089906,0
20,235028.83856246909,3.1793910363380626,0
3,38700.188146517066,4.033700071476444,0
7,171904.10289013534,4.016430721264657,0
2,295683.35711131175,1.0717827142739673,0
20,143964.30854467524,1.5050151311704538,0
1,58721.605952367056,3.638517465578969,0
11,148009.6183093521,1.6464792451434858,0
5,156175.00848516688,2.0219733786224188,0
1,223797.64854745634,4.786551816798429,0
20,211159.5266824668,3.2407290334996475,0
0,123752.26286110927,4.002918027997389,0
11,69316.81671075552,3.2319229551305595,0
11,195290.9794919522,3.210054459130901,0
16,129402.66069321813,1.3766076405027916,0
9,44021.482281972465,2.374652770436412,1
15,270668.82886473375,2.129723594746047,0
14,208910.44799484804,2.562913462454453,0
14,206539.237651417,4.193376752897313,0
18,247662.24339394382,2.4877306716674594,0
11,161250.1952032489,2.806787276926731,0
19,245441.05637872484,2.589525561941266,0
2,151936.7722857467,1.3736318879011824,0
4,24816.742975134475,2.764288633003135,1
18,124548.18596816818,1.7824370921780601,0
6,151752.14372406772,1.746893183092166,0
20,217459.76158152724,1.3761444177370654,0
8,36440.72538795894,2.426683896567059,1
6,46305.46890483246,4.029927539157669,0
17,82786.72177721185,2.1057667623335843,0
3,83617.02604441025,2.2493964075420543,1
13,220994.4506454234,3.5706986306896944,0
17,78965.54486567134,1.7833632503476755,0
8,191763.92869044704,4.587831721694137,0
20,150810.78579079008,3.080762093006218,0
1,174121.8415629232,2.790411761280868,0
19,252241.55413759727,3.2312807677168056,0
14,124292.54295696216,1.6641372536647818,0
6,232418.85623395978,3.453892554556705,0
11,129500.63756745277,2.4524029465360417,0
7,109392.05608556859,4.588745363858475,0
14,287795.01730740006,1.6754168267107445,0
2,59389.42160029415,3.028204415461764,1
13,31649.40337039432,3.392450517476072,0
16,232440.84803296617,1.133534407145525,0
3,25133.663079457016,2.454772499024561,1
17,251938.30225739366,3.930540938803331,0
7,133972.05192538683,4.281510029795893,0
3,275076.53480111464,2.2526479792691294,0
1,217852.19403096216,4.194373089531005,0
5,185069.37676734748,4.871023508413556,0
9,285045.5051320409,4.427495744300376,0
3,122011.56505035602,1.4705759526373008,0
17,286455.6462791918,3.9589213283421625,0
11,44825.376839256045,2.278667329762179,0
1,147707.70787006177,4.953663957648306,0
9,84623.8106056975,2.9414359326395485,1
3,164253.61977791708,1.4897355934357641,0
13,52794.09397801746,3.900742192109563,0
15,253251.2497914628,2.2920447935448554,0
14,254690.3155477944,4.988312628326646,0
7,286794.7122534263,4.919129831418088,0
13,50628.281560554686,3.6245360720823228,0
7,188883.10251697226,1.5193057958068703,0
20,144900.00606660903,3.7474439907001162,0
15,106593.2009530488,1.3721219458401088,0
12,108704.34753459455,1.1174566364095693,0
17,126774.09742899192,4.291833784885944,0
14,212953.03715824115,1.8390117907347254,0
20,181494.38718910562,2.5161085048763896,0
12,140606.04626453368,4.893829559904693,0
8,27400.356059038517,2.347362007444413,1
14,27940.776503292338,2.185959125133261,0
12,5690.120234604587,4.672831998491101,0
0,290471.3195210905,1.4429937812758324,0
6,6549.87647472355,4.038329640458527,0
8,35412.65507405474,4.952262266611096,0
0,97805.98425877621,4.605184043098595,0
11,243191.92428594455,3.6066716748257037,0
7,288819.1418004147,2.256243179970928,0
10,238053.99984359756,2.017287924713267,0
18,208715.26857146397,4.2770204194858445,0
16,158783.69688700297,4.519287655806782,0
7,30578.037499344166,3.1017396501827714,1
2,287660.3839361595,1.9773597631458646,0
2,228725.76211397603,1.4517728336446942,0
0,193490.06867360722,1.3487178713273247,0
4,228915.5744339607,3.8763097894154224,0
9,218610.48213557588,2.6804749113909,0
6,192983.31603789862,4.621439497111481,0
8,294270.1560530965,3.9586852029070547,0
6,271492.32472762733,1.7650416716583468,0
8,195766.1511395632,3.455109675262796,0
7,209486.6873797928,2.7420218175926374,0
11,20220.76296431945,3.3089989230744523,0
1,202625.65204226156,3.9522764933540686,0
